file,study,word,fricative,shift_percent,fricative_voicing,fricative_place,fricative_sibilance,sound_preceeding,sound_following,cue_raw_maxpf,cue_raw_dur_f,cue_raw_dur_v,cue_raw_rms_f,cue_raw_rms_v,cue_raw_F3ampF,cue_raw_F3ampV,cue_raw_F5ampF,cue_raw_F5ampV,cue_raw_lowF,cue_raw_F0,cue_raw_F1,cue_raw_F2,cue_raw_F3,cue_raw_F4,cue_raw_F5,cue_raw_M1,cue_raw_M2,cue_raw_M3,cue_raw_M4,cue_raw_M1trans,cue_raw_M2trans, cue_raw_M3trans,cue_raw_M4trans,cue_raw_W1M1,cue_raw_W1M2,cue_raw_W1M3,cue_raw_W1M4, cue_raw_W2M1,cue_raw_W2M2,cue_raw_W2M3,cue_raw_W2M4, cue_raw_W3M1,cue_raw_W3M2,cue_raw_W3M3,cue_raw_W3M4, cue_raw_W4M1,cue_raw_W4M2,cue_raw_W4M3,cue_raw_W4M4
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,literacy,s,50,voiceless,alveolar,sibilant,N/A,N/A,3402.24609375,139.29682230267025,221.7307466196363,0.014068524139512057,0.04507248151080119,22.161507111766458,8.060600019674194,14.470153045134456,-2.3957036296907046,6.566855096571641,159.94795194972303,438.84981521984895,2209.7847655155024,2868.701680030235,4906.833425101898,5158.661994932843,4239.459901488568,2097.5654381599516,0.7459608472965745,0.22516489620601976,465.9174116514023,741.0264343249218,8.24173092014142,79.36427930907203,4083.544953222187,2202.21449485344,0.6544615506666216,0.17404920377561828,4395.374849754949,1992.9163814664626,0.8374601439265275,0.27628058863642124,4313.858165374377,2021.720907211666,0.8086057737036044,0.41247414597928556,465.9174116514023,741.0264343249218,8.24173092014142,79.36427930907203,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,medicine,s,50,voiceless,alveolar,sibilant,N/A,N/A,3445.3125,120.21321064211588,255.18806744487765,0.02130595547461926,0.05017678271810076,-9.08461613537267,1.490215226204744,9.768516981234932,0.7159118734104228,10.146162346054187,171.62481385479805,494.20824720471757,1705.8806712952346,2991.182368909172,5278.22114782313,6027.407269773081,4720.962751972542,2450.4559537559926,0.5502678199797459,0.06069747147437554,623.7167930426436,1129.8397927553463,5.065696719294691,29.215473514006014,5074.952592799758,2940.254979450088,-0.09752738828153953,-1.0583201870783552,4366.972911145325,1960.6569280618976,1.1980630282410314,1.1797151300271063,4287.795261674096,1972.247521783929,1.1423125751218985,1.266272989188816,623.7167930426436,1129.8397927553463,5.065696719294691,29.215473514006014,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,obscene,s,50,voiceless,alveolar,sibilant,N/A,N/A,3337.646484375,174.93876190955325,473.2053988704248,0.0348693104123703,0.08061755279204524,14.13418489436296,14.608492510373196,14.714880779044787,11.347876366067338,8.544824494891127,212.79166582987122,442.18293735779736,2408.4048954322093,3089.807074079582,4957.6115434458425,5720.043085653868,5241.929486116787,2351.3299812867845,0.2012195893491387,-1.0681159681860874,661.2183316881783,1164.9501453016555,4.220850140433201,20.662374786445678,5615.442127909307,2506.5238763806688,-0.3329984870034327,-1.0014475804557084,4868.416844324267,2196.1360861929,0.7354376657017101,-1.1347843559164663,4330.996202257893,1879.550480564739,1.4865959460425562,0.7668424718615232,661.2183316881783,1164.9501453016555,4.220850140433201,20.662374786445678,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,parasite,s,50,voiceless,alveolar,sibilant,N/A,N/A,3359.1796875,106.46379454448862,289.44969857862014,0.019692903219077552,0.05990878572385492,22.35093674371726,8.305346726327837,13.577910905467744,-12.40922955956979,7.422965762057585,157.85139426071922,636.1798603530453,1593.1982506004974,2767.370211907674,4771.710372424317,5176.373670623511,4318.97996478027,2140.5316205782938,0.8683702403252636,0.19225946368837366,889.5101607956016,1044.2120766278583,3.368024098982575,15.179679683100147,4357.234325129327,2375.131987996105,0.5363334919123429,-0.2677132325734486,4280.725604431213,1905.9312531604826,1.2004069887381843,0.6522321599501959,4073.305050547668,1748.0074040259885,1.4908904588943868,1.746979429230053,889.5101607956016,1044.2120766278583,3.368024098982575,15.179679683100147,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,peninsula,s,50,voiceless,alveolar,sibilant,N/A,N/A,3337.646484375,106.1612540623944,272.9046201814089,0.025791979292706577,0.09641796293799643,16.45158626766606,13.71742296181733,19.816102673910788,-2.3696814207301284,13.02636166677667,173.95559384411786,557.5194261521274,1259.490138090503,3087.662942396304,4468.326703418223,6054.83873429725,4026.4387612754635,1719.1723714160328,1.6027176609398341,2.9876017105417376,533.9980071094099,514.7980723092247,11.643420684800985,160.6025665230543,3907.60848034327,1652.1850785006322,1.4770933771700505,3.542482261302788,4145.269042207658,1786.1596643314333,1.728341944709618,2.4327211597806873,4198.230155027628,1971.4309057500823,1.1799519462199344,1.2144821961768288,533.9980071094099,514.7980723092247,11.643420684800985,160.6025665230543,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,personal,s,50,voiceless,alveolar,sibilant,N/A,N/A,3100.78125,100.46537496949526,314.62873284907465,0.02191645805375982,0.093167382063421,26.415968844102782,24.85193361274302,10.503601542863203,5.258984281063748,20.394032311286097,201.68627562481618,554.2383829927066,1454.257334104824,2717.4993811896843,3844.2848366092117,5149.024489991995,3288.897542832622,2120.795425342327,1.2147777213947846,1.6599854335642013,600.8610554242883,754.4385040550304,5.601597393165243,41.51413642156776,2817.910129872845,2157.231490236657,1.2724558116800704,1.976848806690585,3759.884955792399,2084.3593604479966,1.157099631109499,1.3431220604378176,3262.585109656571,2226.248861892296,0.8443726284512286,0.8805777628672975,600.8610554242883,754.4385040550304,5.601597393165243,41.51413642156776,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,pregnancy,s,50,voiceless,alveolar,sibilant,N/A,N/A,3337.646484375,111.74252898991632,190.87301587302008,0.017261473338236157,0.047237414929356195,17.400616947702225,8.725352027872349,4.730650683244987,-1.67554000816079,12.63957060938585,147.76849533487788,409.0810376443591,2270.440491080393,2852.6979734532547,4947.189366611231,5282.362588841274,4011.211776635051,1966.3757604605225,0.9543174205533226,1.1462807527950694,494.2861394450667,825.0459331722145,6.399274740745125,48.431346388181964,3755.2139981580326,2028.2524069230672,0.5172593847919755,0.8827460404224867,4267.20955511207,1904.4991139979777,1.3913754563146696,1.409815465167652,4180.68673836352,2009.548973674941,1.1257082503972875,1.2457507191356125,494.2861394450667,825.0459331722145,6.399274740745125,48.431346388181964,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,reconcile,s,50,voiceless,alveolar,sibilant,N/A,N/A,3273.046875,81.45573760234903,374.1502239370078,0.020228244316051677,0.06829883682317892,29.085843351666195,20.233284553390636,11.069400365419401,-1.3806467409661578,16.1792303848309,165.83621654506595,660.3112295609384,1528.3290535942294,2783.076751086045,4601.50729767369,5722.014212569113,3783.142494781278,1815.8560450376444,1.6238965410337107,2.8550619905032915,585.0985030929372,669.4824798570147,7.387234038345093,73.56389435748694,3723.789973380597,1854.3847993419274,1.4667636630772534,2.5957178334729667,3842.495016181959,1777.3272907333612,1.781029418990168,3.114406147533616,3735.2907654019414,1893.3207558252097,1.3764712766647358,2.455066612135737,585.0985030929372,669.4824798570147,7.387234038345093,73.56389435748694,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,rehearsal,s,50,voiceless,alveolar,sibilant,N/A,N/A,2454.78515625,109.31120293794727,198.64227614761097,0.01835062675527155,0.05711888021412206,22.123850482961775,11.8438125173581,26.434647527333922,0.7653651580220842,13.708075495294315,168.38398345185735,528.9781657397524,1198.2000325208835,2696.002516538948,3704.884755759822,4921.4785003227125,3590.9935031270034,2049.5364023292977,1.3902664337993942,1.5674094425980578,554.6339372444916,590.0201054178566,7.601691818714092,79.2123594247872,3351.160382757181,2094.232166135229,1.3286203608888603,1.6707790861249858,3830.826623496825,2004.8406385233664,1.4519125067099283,1.4640397990711298,3635.0916695548,2071.3509450262636,1.226016694736378,1.3896154497597912,554.6339372444916,590.0201054178566,7.601691818714092,79.2123594247872,
Drouin-et-al-2016_s-bias,Drouin-et-al-2016,Tennessee,s,50,voiceless,alveolar,sibilant,N/A,N/A,3488.37890625,143.4028477286464,311.5861041886525,0.03658574951393479,0.09762927761909704,23.956649742555605,25.87454490910979,3.1619332913313,1.88465543428419,12.492075520761357,198.95883815783526,422.27588988980455,2346.0503632360837,2905.0760332574296,4346.395631129124,5268.521391130372,4372.3643041767455,2246.1655820142755,0.8180335383847991,0.07745078954353102,614.9658269009333,998.4370075248954,5.118962517088634,30.819951867164747,4286.95834708629,2613.5972480753494,0.4349891570064402,-0.3600289810188202,4457.770261267201,1878.7339159532019,1.201077919763158,0.5149305601058822,4111.896138784554,1643.2573879459112,1.7399270852548938,2.3856087767927203,614.9658269009333,998.4370075248954,5.118962517088634,30.819951867164747,
