workerid,proliferate.condition,social1,error
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,never,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,more than 10,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,more than 10,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,more than 10,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,never,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,never,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,more than 10,
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,more than 1,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,never,
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,more than 1,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,more than 10,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,more than 1,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,more than 10,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,never,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,more than 10,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,more than 1,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,never,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,more than 1,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,more than 10,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,more than 1,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,more than 1,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,never,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,more than 1,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,more than 1,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,more than 10,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,never,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,more than 10,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,more than 10,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,never,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,more than 10,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,never,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,more than 1,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,never,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,more than 10,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,more than 1,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,more than 1,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,never,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,more than 10,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,more than 10,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,never,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,more than 10,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,more than 10,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,never,
