workerid,proliferate.condition,preloadStimuli,error
180,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
200,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
173,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
351,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
253,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
162,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
265,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
331,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
243,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
326,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
450,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
370,condition=M&label=SH&respKeyExp=1&respKeyTest=0,T,
345,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
148,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
264,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
279,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
150,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
385,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
84,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
71,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
135,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
140,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
143,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
295,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
435,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
368,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
96,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
426,condition=H&label=S&respKeyExp=1&respKeyTest=1,T,
448,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
294,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
366,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
278,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
70,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
126,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
357,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
127,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
121,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
134,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
108,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
138,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
115,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
403,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
424,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
119,condition=H&label=S&respKeyExp=1&respKeyTest=0,T,
308,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
163,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
402,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
391,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
293,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
335,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
226,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
199,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
160,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
319,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
315,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
384,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
211,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
222,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
193,condition=M&label=S&respKeyExp=1&respKeyTest=0,T,
328,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
457,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
90,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
86,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
364,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
142,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
157,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
98,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
137,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
344,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
276,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
400,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
149,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
103,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
74,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
459,condition=H&label=SH&respKeyExp=1&respKeyTest=0,T,
204,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
363,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
379,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
221,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
166,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
291,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
275,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
443,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
231,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
262,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
198,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
202,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
172,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
232,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
399,condition=M&label=S&respKeyExp=0&respKeyTest=0,T,
383,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
306,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
73,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
454,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
421,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
118,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
89,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
342,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
290,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
274,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
94,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
404,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
107,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
97,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
155,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
147,condition=H&label=S&respKeyExp=0&respKeyTest=1,T,
187,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
179,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
420,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
341,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
260,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
182,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
382,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
376,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
453,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
240,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
176,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
305,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
289,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
230,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
248,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
170,condition=M&label=S&respKeyExp=0&respKeyTest=1,T,
169,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
209,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
321,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
188,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
175,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
398,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
451,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
323,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
181,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
325,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
442,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
196,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
456,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
194,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
288,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
214,condition=M&label=SH&respKeyExp=0&respKeyTest=0,T,
369,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
303,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
178,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
227,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
241,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
201,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
168,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
449,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
218,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
271,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
197,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
378,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
208,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
433,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
213,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
287,condition=M&label=SH&respKeyExp=0&respKeyTest=1,T,
186,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
375,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
380,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
236,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
361,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
245,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
229,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
462,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
247,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
184,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
463,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
177,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
416,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
286,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
235,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
161,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
239,condition=M&label=SH&respKeyExp=1&respKeyTest=1,T,
158,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
85,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
128,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
285,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
72,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
114,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
415,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
438,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
123,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
258,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
270,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
139,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
360,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
409,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
87,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
348,condition=H&label=SH&respKeyExp=0&respKeyTest=0,T,
122,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
113,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
429,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
414,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
65,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
66,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
284,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
154,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
92,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
394,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
133,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
316,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
436,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
333,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
125,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
320,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
336,condition=H&label=S&respKeyExp=0&respKeyTest=0,T,
203,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
367,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
167,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
314,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
195,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
174,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
412,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
251,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
317,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
165,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
425,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
439,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
318,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
223,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
283,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
246,condition=M&label=S&respKeyExp=1&respKeyTest=1,T,
